"Timestamp","How old are you?
","Which gender do you identify as?","Where are you from?","Where do you live?","What is your occupation status?","What is your primary mode of transportation for daily commuting?","How far is your typical daily commute in terms of miles or kilometers?","On average, how much time do you spend commuting each day?","Do you own a personal vehicle (car, motorcycle, bicycle)? If so, what type?","How frequently do you use public transportation (bus, train, subway)?","What is your preferred mode of transportation for longer distances (e.g., intercity travel)?","How satisfied are you with the current transportation options available in your area?","Would you be open to trying new transportation options if they were introduced in your area?","What factors influence your choice of transportation (e.g., convenience, cost, environmental impact)?","Would you be willing to use alternative transportation methods for environmental reasons (e.g., walking, biking)?","Have you ever encountered challenges with your chosen mode of transportation (e.g., delays, breakdowns)?","How would you rate the accessibility of transportation options for individuals with mobility challenges in your area?","In your opinion, in what areas can the  improvements be made to the transportation infrastructure in your area?","Have you considered using electric or hybrid vehicles for your daily commute?","On a scale of 1 to 10, how important is environmental sustainability in your transportation choices?","How often do you engage in active transportation (e.g., walking, biking) for leisure or exercise?","Would you be willing to pay a premium for environmentally friendly transportation options (e.g., electric vehicles, eco-friendly fuels)?","What factors would encourage you to use public transportation more frequently?","In your opinion, how well does the current transportation infrastructure accommodate cyclists and pedestrians?","Do you use any mobile apps or technology to plan or optimize your daily commute?","Do you think there is a need for increased investment in public transportation infrastructure in your area?","Have you ever participated in a transportation-related survey or focus group before this one?","How does the cost of transportation impact your mode of choice? Are you willing to pay a premium for specific benefits?","How important is safety in influencing your transportation decisions?","How do you perceive public transportation in terms of comfort, convenience, and overall experience?","Do you prefer a single mode of transportation or a combination (e.g., walking + public transit)?","Have you ever participated in carpooling or ride-sharing programs?","Have you ever used a bike-sharing or scooter-sharing service?","How many times per week do you use your personal vehicle for non-commuting purposes?","How important is parking availability when choosing your mode of transportation?","",""
"2024/01/25 2:50:09 PM GMT+3","26-35","Male","Belarus","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, definitely","Convenience","Probably","Frequently","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","7","Daily","Yes","Improved reliability","Poorly","Daily","4","No","Willing to pay a premium","Very Important","Neutral","Combination of modes","No, never","No","Never","Very important","",""
"2024/01/25 2:57:58 PM GMT+3","18-25","Male","Turkey","United Kingdom","Unemployed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","I do not own a personal vehicle","2-3 times a week","Train","4","Maybe","Time efficiency","Neutral","Occasionally","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","5","Rarely","No","Lower cost","Neutral","Regularly","4","No","Cost is a consideration but not a deciding factor","Important","Neutral","Combination of modes","Yes, occasionally","Yes","Rarely","Neutral","",""
"2024/01/25 2:59:38 PM GMT+3","18-25","Female","Turkey","Italy","Student","Public transit (bus, train, subway)","I do not have a daily commute","Less than 15 minutes","I do not own a personal vehicle","2-3 times a week","Airplane","3","Yes, probably","Time efficiency","Probably","Frequently","Somewhat accessible","# of lines can be increased","Yes","8","2-3 times a week","Yes","Improved reliability","Neutral","Daily","4","No","Willing to pay a premium","Very Important","Positive","It depends on the circumstances","Yes, occasionally","No","Rarely","Very important","",""
"2024/01/25 3:00:02 PM GMT+3","18-25","Female","Turkey","Spain","Student","Walking","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","2-3 times a week","Train","5","Yes, probably","Convenience","Probably","Rarely","Somewhat accessible","# of lines can be increased","No","4","Daily","No","Better connectivity","Very well","Regularly","2","No","Cost is a consideration but not a deciding factor","Important","Very Positive","It depends on the circumstances","No, never","No","Never","Very important","",""
"2024/01/25 3:01:35 PM GMT+3","56-65","Female","Turkey","Turkey","Employed","Car","8-16 km (5-10 miles)","15-30 minutes","Car","Rarely","Airplane","3","Yes, probably","Convenience","Probably","Rarely","Not accessible at all","Types of transport can be increased","Yes","3","Rarely","Yes","Better connectivity","Very poorly","Daily","5","No","Cost is a consideration but not a deciding factor","Important","Neutral","Combination of modes","No, never","No","2-3 times a week","Very important","",""
"2024/01/25 3:05:25 PM GMT+3","18-25","Female","Italy","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, definitely","Convenience","Neutral","Frequently","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","7","2-3 times a week","No","Improved reliability","Neutral","Regularly","4","No","Neutral","Very Important","Neutral","Combination of modes","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:05:42 PM GMT+3","18-25","Male","Cameroon","France","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","Less than 15 minutes","Bicycle","Daily","Train","5","Maybe","Environmental impact","Probably","Occasionally","Somewhat accessible","# of lines can be increased","Yes","5","Once a week","Yes","Improved reliability","Very well","Rarely","4","Yes","Willing to pay a premium","Neutral","Positive","Single mode","Yes, regularly","Yes","Daily","Very important","",""
"2024/01/25 3:08:03 PM GMT+3","56-65","Female","Turkey","Turkey","Retired","Car","Less than 8 km (5 miles)","30-60 minutes","Car","Rarely","Car","4","Yes, probably","Convenience","Definitely","Rarely","Very accessible","# of vehicles (transport frequency) can be increased","Yes","8","2-3 times a week","Yes","Lower cost","Neutral","Occasionally","4","No","Cost is a consideration but not a deciding factor","Very Important","Positive","It depends on the circumstances","No, never","No","Rarely","Important","",""
"2024/01/25 3:09:02 PM GMT+3","26-35","Male","Italy","Italy","Student","Motorcycle","8-16 km (5-10 miles)","30-60 minutes","Motorcycle","Rarely","Car","3","Maybe","Time efficiency","Neutral","Rarely","Somewhat accessible","Types of transport can be increased","Yes","8","Once a week","Yes","Lower cost","Neutral","Rarely","2","Yes","Neutral","Important","Negative","Combination of modes","No, never","No","2-3 times a week","Important","",""
"2024/01/25 3:09:24 PM GMT+3","18-25","Female","Turkey","Turkey","Employed","Public transit (bus, train, subway)","16-32 km (10-20 miles)","More than 90 minutes","Car","Daily","Bus","3","Yes, probably","Time efficiency","Definitely","Frequently","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","5","2-3 times a week","Yes","Lower cost","Very poorly","Occasionally","4","No","Prefer lower-cost options","Important","Neutral","Combination of modes","Yes, occasionally","No","Rarely","Very important","",""
"2024/01/25 3:09:29 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Airplane","4","Yes, probably","Time efficiency","Probably","Occasionally","Somewhat accessible","Types of transport can be increased","Yes","4","2-3 times a week","Yes","Better connectivity","Very well","Regularly","4","No","Neutral","Very Important","Neutral","It depends on the circumstances","No, never","Yes","Once a week","Very important","",""
"2024/01/25 3:11:52 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Train","4","Yes, definitely","Cost","Definitely","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","7","Rarely","No","Low cost, good frequency and accessibility.","Poorly","Daily","5","Yes","Neutral","Very Important","Positive","It depends on the circumstances","No, never","Yes","Never","Very important","",""
"2024/01/25 3:12:31 PM GMT+3","36-45","Male","Turkey","Turkey","Employed","Car","8-16 km (5-10 miles)","30-60 minutes","Car","Never","Airplane","3","Maybe","Time efficiency","Probably","Rarely","Not very accessible","# of vehicles (transport frequency) can be increased","No","6","Rarely","No","Better connectivity","Poorly","Never","4","No","Prefer lower-cost options","Important","Negative","Single mode","No, never","No","Daily","Very important","",""
"2024/01/25 3:14:21 PM GMT+3","46-55","Male","Turkey","Turkey","Employed","Public transit (bus, train, subway)","16-32 km (10-20 miles)","60-90 minutes","Motorcycle","Daily","Car","2","Yes, definitely","Convenience","Definitely","Rarely","Not very accessible","Types of transport can be increased","Yes","10","2-3 times a week","Yes","Better connectivity","Poorly","Rarely","5","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","Combination of modes","Yes, regularly","No","Once a week","Very important","",""
"2024/01/25 3:15:14 PM GMT+3","18-25","Male","Turkey","Turkey","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","More than 90 minutes","I do not own a personal vehicle","2-3 times a week","Airplane","2","Yes, definitely","Time efficiency","Neutral","Occasionally","Somewhat accessible","# of lines can be increased","No","3","Daily","No","Better connectivity","Poorly","Regularly","4","No","Willing to pay a premium","Important","Positive","It depends on the circumstances","Yes, occasionally","No","Never","Important","",""
"2024/01/25 3:16:05 PM GMT+3","18-25","Male","Turkey","Italy","Student","Public transit (bus, train, subway)","16-32 km (10-20 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Bus","1","Yes, definitely","Convenience","Neutral","Rarely","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","5","2-3 times a week","No","Enhanced safety measures","Adequately","Regularly","2","No","Cost is a consideration but not a deciding factor","Important","Positive","Combination of modes","Yes, occasionally","Yes","Once a week","Important","",""
"2024/01/25 3:17:04 PM GMT+3","46-55","Female","Turkey","Turkey","Self employed","Car","I do not have a daily commute","15-30 minutes","Car","Once a week","Airplane","3","Maybe","Time efficiency","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","8","2-3 times a week","Yes","Enhanced safety measures","Poorly","Daily","5","No","Prefer lower-cost options","Very Important","Positive","It depends on the circumstances","No, never","Yes","Once a week","Very important","",""
"2024/01/25 3:18:04 PM GMT+3","26-35","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, probably","Convenience","Probably not","Frequently","Neutral","# of lines can be increased","Yes","6","Daily","Yes","Lower cost","Very well","Occasionally","3","Yes","Cost is a consideration but not a deciding factor","Neutral","Neutral","Combination of modes","Yes, occasionally","Yes","Never","Neutral","",""
"2024/01/25 3:18:38 PM GMT+3","18-25","Female","Turkey","Turkey","Employed","Car","Less than 8 km (5 miles)","15-30 minutes","Car","Once a week","Airplane","4","Yes, definitely","Safety","Probably","Frequently","Neutral","Types of transport can be increased","Yes","9","Rarely","Yes","Better connectivity","Poorly","Rarely","5","No","Willing to pay a premium","Very Important","Neutral","It depends on the circumstances","No, never","No","Daily","Very important","",""
"2024/01/25 3:20:51 PM GMT+3","26-35","Female","Mexico","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","2","Yes, definitely","Cost","Probably","Frequently","Very accessible","# of vehicles (transport frequency) can be increased","No","6","2-3 times a week","No","Improved reliability","Neutral","Daily","4","Yes","Prefer lower-cost options","Neutral","Positive","It depends on the circumstances","Yes, regularly","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:22:04 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","More than 90 minutes","I do not own a personal vehicle","Daily","Bus","2","Yes, probably","Cost","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","8","Daily","No","Lower cost","Adequately","Daily","4","Yes","Cost is the primary consideration","Important","Neutral","Combination of modes","No, never","No","Rarely","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:23:21 PM GMT+3","26-35","Male","Cameroon","Italy","Unemployed","Bicycle","Less than 8 km (5 miles)","Less than 15 minutes","Bicycle","Once a week","Train","2","Yes, definitely","Environmental impact","Probably","Frequently","Somewhat accessible","Types of transport can be increased","Yes","10","2-3 times a week","No","Lower cost","Adequately","Occasionally","2","Yes","Neutral","Very Important","Neutral","Single mode","No, never","No","Rarely","Very important","",""
"2024/01/25 3:24:35 PM GMT+3","18-25","Female","Turkey","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","2-3 times a week","Train","3","Yes, definitely","Time efficiency","Neutral","Occasionally","Somewhat accessible","# of lines can be increased","Yes","6","Rarely","No","Enhanced safety measures","Neutral","Occasionally","3","No","Cost is a consideration but not a deciding factor","Important","Neutral","Single mode","No, never","Yes","Never","Important","",""
"2024/01/25 3:24:49 PM GMT+3","26-35","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Bus","5","Yes, definitely","Cost","Probably","Rarely","Somewhat accessible","# of lines can be increased","Yes","8","Daily","Yes","Improved reliability","Very well","Daily","4","Yes","Cost is a consideration but not a deciding factor","Very Important","Positive","Single mode","No, never","No","Never","Very important","",""
"2024/01/25 3:27:06 PM GMT+3","18-25","Male","Turkey","United Kingdom","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","Bicycle","Daily","Train","5","Maybe","Environmental impact","Probably","Rarely","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","7","Daily","No","Lower cost","Adequately","Daily","3","No","Willing to pay a premium","Important","Positive","It depends on the circumstances","Yes, occasionally","Yes","Rarely","Very important","",""
"2024/01/25 3:27:08 PM GMT+3","46-55","Female","Turkey","Turkey","Employed","Car","8-16 km (5-10 miles)","30-60 minutes","Car","Rarely","Car","3","Yes, definitely","Convenience","Probably","Rarely","Not very accessible","# of lines can be increased","No","10","Once a week","Yes","Better connectivity","Very poorly","Daily","5","Yes","Prefer lower-cost options","Very Important","Very Negative","It depends on the circumstances","No, never","No","Daily","Important","",""
"2024/01/25 3:27:16 PM GMT+3","26-35","Male","Cameroon","Italy","Employed","Car","16-32 km (10-20 miles)","30-60 minutes","Car","Once a week","Car","4","Yes, probably","Cost","Probably not","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","1","Rarely","No","Better connectivity","Neutral","Regularly","5","No","Prefer lower-cost options","Important","Positive","Single mode","Yes, regularly","Yes","2-3 times a week","Very important","",""
"2024/01/25 3:28:21 PM GMT+3","18-25","Female","Italy","France","Student","Walking","Less than 8 km (5 miles)","15-30 minutes","Car","2-3 times a week","Train","4","Yes, definitely","Cost","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","7","Once a week","Yes","Improved reliability","Neutral","Rarely","3","No","Prefer lower-cost options","Important","Positive","It depends on the circumstances","No, never","No","Once a week","Very important","",""
"2024/01/25 3:28:55 PM GMT+3","26-35","Male","Cameroon","Italy","Employed","Car","More than 48 km (30 miles)","30-60 minutes","Car","Rarely","Airplane","4","Yes, probably","Cost","Probably","Occasionally","Somewhat accessible","Types of transport can be increased","Yes","7","Once a week","No","Improved reliability","Adequately","Regularly","4","No","Prefer lower-cost options","Important","Positive","It depends on the circumstances","Yes, regularly","No","Daily","Very important","",""
"2024/01/25 3:29:02 PM GMT+3","26-35","Male","Cameroon","Italy","Employed","Car","16-32 km (10-20 miles)","30-60 minutes","Car","Rarely","Train","1","Yes, definitely","Convenience","Definitely","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","No","2","2-3 times a week","Yes","Improved reliability","Neutral","Daily","5","No","Neutral","Neutral","Neutral","It depends on the circumstances","Yes, occasionally","No","Rarely","Very important","",""
"2024/01/25 3:29:15 PM GMT+3","18-25","Male","Italy","Italy","Student","Walking","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Once a week","Train","2","Yes, probably","Time efficiency","Probably","Never","Neutral","# of lines can be increased","No","7","Daily","No","Improved reliability","Poorly","Occasionally","5","Yes","Prefer lower-cost options","Not Important","Neutral","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:35:04 PM GMT+3","18-25","Male","Turkey","Switzerland","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Car","5","Maybe","Cost","Probably not","Rarely","Very accessible","# of vehicles (transport frequency) can be increased","Yes","2","Rarely","No","Better connectivity","Neutral","Daily","2","No","Cost is a consideration but not a deciding factor","Not Important","Neutral","Combination of modes","No, never","Yes","Never","Important","",""
"2024/01/25 3:36:07 PM GMT+3","18-25","Male","Cameroon","Belgium","Student","Public transit (bus, train, subway)","32-48 km (20-30 miles )","30-60 minutes","I do not own a personal vehicle","Daily","Car","4","Yes, definitely","Cost","Probably","Occasionally","Somewhat accessible","Types of transport can be increased","No","8","2-3 times a week","Yes","Enhanced safety measures","Neutral","Regularly","4","No","Neutral","Important","Positive","It depends on the circumstances","No, never","No","Rarely","Very important","",""
"2024/01/25 3:36:31 PM GMT+3","18-25","Female","Germany","Germany","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","2-3 times a week","Car","3","Yes, definitely","Time efficiency","Definitely not","Frequently","Neutral","# of lines can be increased","Yes","4","Once a week","No","Lower cost","Adequately","Daily","3","No","Neutral","Very Important","Neutral","It depends on the circumstances","No, never","No","2-3 times a week","Important","",""
"2024/01/25 3:37:01 PM GMT+3","18-25","Male","Turkey","Turkey","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","15-30 minutes","I do not own a personal vehicle","2-3 times a week","Train","2","Yes, probably","Cost","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","5","2-3 times a week","Yes","Lower cost","Neutral","Regularly","3","No","Prefer lower-cost options","Important","Neutral","It depends on the circumstances","No, never","No","Never","Important","",""
"2024/01/25 3:37:28 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","Car","Daily","Train","3","Maybe","Cost","Neutral","Occasionally","Neutral","Types of transport can be increased","Yes","10","Once a week","Yes","Lower cost","Neutral","Regularly","5","No","Neutral","Important","Neutral","It depends on the circumstances","No, never","No","Rarely","Important","",""
"2024/01/25 3:38:45 PM GMT+3","56-65","Male","Turkey","Turkey","Employed","Car","16-32 km (10-20 miles)","60-90 minutes","Car","2-3 times a week","Airplane","2","Yes, probably","Time efficiency","Definitely","Rarely","Not very accessible","# of lines can be increased","Yes","10","2-3 times a week","Yes","Lower cost","Very poorly","Rarely","5","No","Cost is a consideration but not a deciding factor","Important","Positive","Combination of modes","No, never","Yes","Rarely","Important","",""
"2024/01/25 3:39:31 PM GMT+3","18-25","Male","Italy","Italy","Student","Public transit (bus, train, subway)","32-48 km (20-30 miles )","60-90 minutes","Car","2-3 times a week","Car","3","Yes, definitely","Cost","Definitely","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","Yes","8","2-3 times a week","Yes","Improved reliability","Neutral","Regularly","5","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","Combination of modes","No, never","No","Once a week","Important","",""
"2024/01/25 3:43:51 PM GMT+3","18-25","Female","Vietnam","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Never","Train","2","Yes, probably","Cost","Definitely","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","7","Daily","Yes","Lower cost","Poorly","Occasionally","4","No","Cost is the primary consideration","Important","Neutral","It depends on the circumstances","No, never","Yes","Never","Important","",""
"2024/01/25 3:45:22 PM GMT+3","18-25","Male","Turkey","Turkey","Employed","Car","32-48 km (20-30 miles )","60-90 minutes","I do not own a personal vehicle","Once a week","Train","4","Yes, definitely","Convenience","Probably not","Occasionally","Not very accessible","Types of transport can be increased","Yes","1","Daily","No","Improved reliability","Poorly","Daily","5","No","Willing to pay a premium","Very Important","Positive","Single mode","Yes, occasionally","Yes","Never","Very important","",""
"2024/01/25 3:46:22 PM GMT+3","26-35","Male","Cameroon","Italy","Unemployed","Bicycle","8-16 km (5-10 miles)","15-30 minutes","Bicycle","2-3 times a week","Train","3","Yes, probably","Time efficiency","Probably","Occasionally","Neutral","Types of transport can be increased","Yes","7","2-3 times a week","No","Lower cost","Neutral","Occasionally","5","No","Cost is a consideration but not a deciding factor","Important","Neutral","Combination of modes","Yes, occasionally","Yes","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:46:24 PM GMT+3","26-35","Female","Cameroon","Cameroon","Self employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Bus","3","Yes, definitely","Convenience","Definitely not","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","3","2-3 times a week","Yes","Better connectivity","Neutral","Never","3","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 3:47:11 PM GMT+3","18-25","Female","Cameroon","Italy","Student","Public transit (bus, train, subway)","16-32 km (10-20 miles)","30-60 minutes","Motorcycle","Daily","Train","4","Yes, probably","Cost","Probably","Frequently","Very accessible","Types of transport can be increased","Yes","7","2-3 times a week","Yes","Lower cost","Very well","Daily","3","No","Prefer lower-cost options","Neutral","Positive","Combination of modes","No, never","Yes","Once a week","Neutral","",""
"2024/01/25 3:50:12 PM GMT+3","18-25","Male","Turkey","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, probably","Time efficiency","Neutral","Occasionally","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","3","Once a week","Yes","Improved reliability","Very well","Daily","4","No","Prefer lower-cost options","Neutral","Neutral","It depends on the circumstances","Yes, occasionally","Yes","Never","Not applicable (I do not own a personal vehicle)","",""
